CompNameCommon,Address,PostalCode,Province,City,Contact,Email,PhoneMain,CompWCBNumber,PermanentlyClosedFlag,CompNameAlias,CompNameLegal,HasActiveHCP,AddressText
"""DC Works"" Contracting",,,MB,,,,,,,,,FALSE,
0812 Building Solutions Inc,,,MB,,,,,1678291,,0812 Building Solutions Inc,0812 Building Solutions Inc.,FALSE,
10004870 Manitoba Inc,,,MB,,,,,,,,10004870 Manitoba Inc,FALSE,
10006391 MANITOBA LTD.,,,MB,,,,,,,,10006391 MANITOBA LTD.,FALSE,
10008663 Manitoba Ltd,,,MB,,,,,,,,,FALSE,
10014353 Manitoba Ltd,,,MB,,,,,,,,10014353 Manitoba Ltd,FALSE,
10016568 MB Ltd,,,MB,,Navdeep Tangri,,,,,,,FALSE,
10018148 MB Ltd,,,MB,,,,,,,Sheer Homes,,FALSE,
10018562 Manitoba Ltd,,,MB,,Ke Wang,ke9999966@hotmail.com,204-999-9966,Unable to find on the WCB spreadsheet,,,,FALSE,
10023538 Manitoba Ltd.,,,MB,,,,,,,,,FALSE,
10027829 Manitoba Ltd.,,,MB,,,,,,,,,FALSE,
10031700 Manitoba Ltd.,,,MB,,,,,,,,,FALSE,
10032001 Manitoba Corp.,,,MB,,,,,,,,10032011 Manitoba Corp.,FALSE,
10036098 Manitoba Ltd.,,,MB,,,,,,,,,FALSE,
10036098 Manitoba Ltd.,,,MB,,,,,,,Team Construction,,FALSE,
10036098 MB Ltd,,,MB,,,,,,,,,FALSE,
10036098 MB Ltd,,,MB,,,,,,,,,FALSE,
10036098 MB Ltd,,,MB,,,,,,,,,FALSE,
10036098 MB Ltd.,,,MB,,,,,,,,,FALSE,
10044187 Manitoba Inc,,,MB,,,,,,,,,FALSE,
10057015 Manitoba Ltd.,,,MB,,,,,,,Global Taxation Services LTD,,FALSE,
10059717 Manitoba Inc,,,MB,,,,,,,,,FALSE,
10059806 Manitoba Limited,,,MB,,,,,,,,,FALSE,
10070086 MB Ltd.,,,MB,,,,,,,,,FALSE,
10083967 Manitoba Ltd.,,,MB,,,,,,,,,FALSE,
10104926 Manitoba Ltd.,,,MB,,,,,,,,,FALSE,
10106195 MB Ltd,,,MB,,,,,,,,,FALSE,
10132031 Manitoba Ltd,,,MB,,,,,,,,,FALSE,
10132179 Manitoba Ltd.,,,MB,,,,,,,,,FALSE,
10136603 Manitoba Ltd,,,MB,,,,,,,,,FALSE,
1054 McPhillips Street Ltd,,,MB,,,,,2485480 (Unregistered Account),,,1054 McPhillips Street Ltd,FALSE,
10923532 Canada Ltd,,,MB,,Fernando Almeida (Owner),almeidaprojects1@gmail.com,204-229-4458,2658664,,Almeida Developments,10923532 Canada Ltd,FALSE,
1206811 Alberta Ltd,16 Westerra Close,T7Z 2W1,AB,Stony Plain,,,,,,,,FALSE,16 Westerra Close
123 ABC,111 ABC,R3T 1M6,MB,Winnipeg,,,,,,,,FALSE,111 ABC
