Key,Officer,Received,Completed,Company,Address,PostalCode,City,SHO Decision,Final Decision (Director's Decision),Worker's Stated Safety Concern,Appeal Status,Number of Business Days,Number of Days to Close,Notes,DayOfWeekRCVD,DayOfWeekCompleted,MatchedCompNameCommon,MatchedAddress,MatchedPostalCode,MatchedCity,MatchedProvince,MatchedContact,MatchedCompNameCommon2,MatchedAddress2,MatchedPostalCode2,MatchedCity2,MatchedProvince2,MatchedContact2,MatchedCompNameCommon3,MatchedAddress3,MatchedPostalCode3,MatchedCity3,MatchedProvince3,MatchedContact3,MatchedCompNameCommon4,MatchedAddress4,MatchedPostalCode4,MatchedCity4,MatchedProvince4,MatchedContact4,MatchedCompNameCommon5,MatchedAddress5,MatchedPostalCode5,MatchedCity5,MatchedProvince5,MatchedContact5
1,Tom Levich,2015-01-09,2015-01-09,Piston Ring Service,660 Wall St,R3G 2T3,Winnipeg,DA,DA,Right to Refuse,,1.0,1,,,,Piston Ring,,,,MB,,Piston Ring Service,660 Wall St,R3G 2T3,Winnipeg,MB,Todd Toutant,Piston Ring Service,660 Wall St,R3G 2T3,Winnipeg,MB,Todd Toutant,,,,,,,,,,,,
2,Rob Staerk,2015-01-26,2015-01-30,Lakeview Hotel & Resorts,10 Centre St,R0C 1B0,Gimli,DA,DA,Harassment,,4.0,4,,,,Lakeview Resorts,10 Centre St,R0C 1B0,Gimli,MB,Michael Lazer,Lakeview Hotel & Resorts,10 Centre St,R0C 1B0,Gimli,MB,Keith Levit (President & CEO),Lakeview Motor Hotel,57 Park Ave,R0E 1A0,Lac Du Bonnet,MB,Ross Kennedy,,,,,,,,,,,,
3,Tom Levich,2015-01-30,2015-02-19,JTL Industries Ltd.,,,,No DA,No DA,"Mice, PPE, Guarding",,13.0,20,,,,JTL Industries Ltd.,,,,MB,Frank Siemens or Ron Routledge (Shop Foremen),SM Industries Ltd,,,,MB,,Sperling Industries Ltd,51 Station St,R0G 2M0,Sperling,MB,Peter Walker,Cypress Industries Ltd,SW 21-7-12 Suite 217,R0K 0P0,Cypress River,MB,,Empire Industries Ltd,717 Jarvis Ave,R2W 3B4,Winnipeg,MB,Laura Brooke (Safety Coordinator)
4,Natalie Oree,2015-02-03,2015-02-18,Commissionaires,,,,No DA,DA,Right to Refuse,Director Found DA; Employer's Appeal to MLB Withdrawn,10.0,15,,,,Canadian Corps of Commissionaires,290 Burnell St,R3G 2A7,Winnipeg,MB,Gerald P Franc,Commissionaires,,,,MB,,,,,,,,,,,,,,,,,,,
5,Bill Bage,2015-02-10,2015-03-03,Jeld-Wen Windows and Doors,550 Munroe Ave,R2L 2A5,Winnipeg,No DA,No DA,Harassment,,14.0,21,,,,Jeld-Wen Windows and Doors,550 Munroe Ave,R2L 2A5,Winnipeg,MB,Paul Krueger - HR Mgr,KSI Windows and Doors,318 Regent Ave,R2C 0C5,Winnipeg,MB,,Jorci Windows and Doors,1049 Landsdowne Ave,R2X 1S2,Winnipeg,MB,David Laudato,Madsky Windows & Doors,,,,MB,,Harmar Windows and Doors,,,,MB,
6,Tyler Chivers,2015-02-11,2015-02-12,Realcare Inc.,213 Notre Dame Ave Suite 1008,R3B 1N3,Winnipeg,No DA,DA,Harassment,Appealed - Director Found DA Based on New Informaiton,1.0,1,,,,REALCARE,,,,MB,,Realcare Inc.,213 Notre Dame Ave Suite 1008,R3B 1N3,Winnipeg,MB,Elba Haid,REALCARE,,,,MB,,,,,,,,,,,,,
7,Rob Staerk,2015-02-17,2015-02-27,St. Boniface Hospital,St Boniface General Hospital,409 Tache Ave Suite TG002B,R2H 2A6,Winnipeg,DA,Harassment,,8.0,10,,,,St Boniface General Hospital,409 Tache Ave Suite TG002B,R2H 2A6,Winnipeg,MB,Dr. Michel Tetreault (President & CE0),St Boniface Hotel,171 Dumoulin St,R2H 0E2,Winnipeg,MB,Mario Johnaisse,,,,,,,,,,,,,,,,,,
8,Bert Linfitt (w/ Bill Bage),2015-02-18,2015-02-24,Klym & Son,,,,No DA,No DA,Pay While Training,,4.0,6,,,,Klym & Son Trucking,24 Heintz Road,R9A 1K3,The Pas,MB,Mike or Justin Klym,,,,,,,,,,,,,,,,,,,,,,,,
9,Tyler Chivers,2015-02-25,2015-03-02,Gauthier Chrysler Dodge Jeep Ram,,R2C 3B2,Winnipeg,No DA,No DA,Harassment,"MLB Dismissed Appeal: No Prima Facie Case, No Nexus",3.0,5,,,,Gauthier Chrysler Dodge Jeep,1375 Regent Ave W,R2C 3B2,Winnipeg,MB,Pierre Chiappetta,Gauthier Chrysler Dodge Jeep Ram,,,,MB,,Dunn Chrysler Dodge Jeep Ram,2345 Sissons Drive,R1N 3P1,Portage La Prairie,MB,Craig Dunn,Murray Chrysler Dodge Jeep Ram,300 Pembina Hwy,R3L 2E2,Winnipeg,MB,Rob Leah (Director of Fixed Operations),Eastern Chrysler Dodge Jeep,1900 Main St,R2V 3S9,Winnipeg,MB,Joe Rewucki (Owner)
10,Dan Steppan Steppan(w/ Rob Staerk),2015-02-26,2015-03-06,Breezy North Construction Inc.,,,Selkirk,No DA,No DA,PPE,,6.0,8,,,,Breezy North Construction Inc.,,,Selkirk,MB,Don Gregory,CGR Construction Inc,127 McFadden Ave,R2C 3E4,Winnipeg,MB,Curtis Rapp,KM Construction,,,,MB,,AF Construction,161 Hazel Drive,,Rhinefeld,MB,,AB Construction,,R0J 0N0,Elphinstone,MB,Barry Tocher
